Id,Category
0,0
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,1
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,1
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,0
572,1
573,1
574,0
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,0
659,0
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,0
681,1
682,0
683,0
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,1
701,1
702,1
703,0
704,0
705,0
706,1
707,0
708,1
709,1
710,1
711,0
712,0
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,0
786,0
787,0
788,1
789,0
790,1
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,0
805,1
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,0
821,1
822,0
823,1
824,0
825,1
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,0
835,1
836,1
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,1
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,0
888,0
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,1
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,1
913,0
914,0
915,0
916,1
917,0
918,1
919,1
920,0
921,1
922,1
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,0
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,0
945,1
946,0
947,0
948,0
949,1
950,0
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,0
961,0
962,1
963,1
964,0
965,0
966,0
967,0
968,0
969,0
970,1
971,1
972,0
973,0
974,1
975,1
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
